,User ID,Datum,Label
250,DominiqueSchni3,2023-01-12,negative
251,itschue23,2023-01-12,positive
252,Zensus666,2023-01-12,positive
253,CoronaAsgard,2023-01-12,neutral
254,GlowinLittleLie,2023-01-12,negative
255,mpoessel,2023-01-12,positive
256,Iluminismohuman,2023-01-12,neutral
257,QueenDessau,2023-01-12,negative
258,JuttaSandvoss,2023-01-12,positive
259,shiinomas,2023-01-12,negative
260,josefmatthes1,2023-01-12,positive
261,Iluminismohuman,2023-01-12,neutral
262,Superbatterie,2023-01-12,neutral
263,KreaUntiev,2023-01-12,neutral
264,MKlostermayer,2023-01-12,positive
265,artep21,2023-01-12,positive
266,KazimBridges,2023-01-12,neutral
267,Muschelschloss,2023-01-12,neutral
268,Weltraumwagner,2023-01-12,positive
269,RocktTina,2023-01-12,neutral
270,Evelynsbroken,2023-01-12,neutral
271,PabstBand,2023-01-12,negative
272,Klabaut66590981,2023-01-12,neutral
273,littlewisehen,2023-01-12,negative
274,brz_sandra,2023-01-12,neutral
275,futurezoneat,2023-01-12,neutral
276,oRAPo,2023-01-12,positive
277,drumgolf_hub,2023-01-12,neutral
278,IN_ROL_0815,2023-01-12,neutral
279,alterdonauwels,2023-01-12,neutral
280,nitmoechlich,2023-01-12,neutral
281,rollo12312,2023-01-12,positive
282,BesorgteBrgeri2,2023-01-12,neutral
283,besim,2023-01-12,negative
284,KarJa07218888,2023-01-12,negative
285,melli_toto,2023-01-12,positive
286,ConnyPli,2023-01-12,positive
287,Iluminismohuman,2023-01-12,neutral
288,Iluminismohuman,2023-01-12,neutral
289,Owiwo15,2023-01-12,negative
290,Bazixxx,2023-01-12,neutral
291,MaxiMuellerX,2023-01-12,positive
292,gagadget_de,2023-01-12,neutral
293,emerald_fm,2023-01-12,neutral
294,Janzen81437726,2023-01-12,neutral
295,Fabian44383164,2023-01-12,neutral
296,Tobiask14587359,2023-01-12,neutral
297,PflichtOder,2023-01-12,negative
298,t3n,2023-01-12,neutral
299,yoga_and_more,2023-01-12,neutral
300,Paulonym2,2023-01-12,positive
301,Petsche15,2023-01-12,neutral
302,Armani49146332,2023-01-12,positive
303,DFliesstext,2023-01-12,neutral
304,imfluesterkanal,2023-01-12,neutral
305,ArtooDetoo_SA,2023-01-12,neutral
306,ru202254,2023-01-12,negative
307,fartwhistle2,2023-01-12,neutral
308,MichaelChadham1,2023-01-12,neutral
309,dragonloverin,2023-01-12,negative
310,OliverK99709990,2023-01-12,positive
311,Millennium_Teen,2023-01-12,negative
312,KlausMarx13,2023-01-12,neutral
313,TomDKirkpatrick,2023-01-12,neutral
314,Lavande_bleu,2023-01-12,negative
315,PAntonowa,2023-01-12,negative
316,fisher_fur,2023-01-12,positive
317,maz_online,2023-01-12,neutral
318,AlexP72053585,2023-01-12,positive
319,MAC_Ruhrpott,2023-01-12,neutral
320,BlockchainBrot1,2023-01-12,neutral
321,EricLeeYT_,2023-01-12,neutral
322,Pisepampell,2023-01-12,neutral
323,BerndRosam,2023-01-12,neutral
324,garbage561,2023-01-12,neutral
325,leckmichdoch71,2023-01-12,neutral
326,Guardofbrain,2023-01-12,neutral
327,MCV1811,2023-01-12,neutral
328,MRRBOT1984,2023-01-12,neutral
329,Mica4711,2023-01-12,neutral
330,Mica4711,2023-01-12,neutral
331,AduWims,2023-01-12,neutral
332,Abigail2011B,2023-01-12,positive
333,KindGOTTES2020,2023-01-12,positive
334,JFME03081954,2023-01-12,negative
335,YurekWallach,2023-01-12,negative
336,Mario29918336,2023-01-12,neutral
337,Sozialpatriot,2023-01-12,neutral
338,MiseryMythos,2023-01-12,negative
