,User ID,Datum,Label
0,katrinhilger,2023-01-13,neutral
1,noahsonnen,2023-01-13,negative
2,Zeitgeistzeuge,2023-01-13,neutral
3,junaidi_afif,2023-01-13,neutral
4,snowfox979,2023-01-13,neutral
5,ArminiusVxii,2023-01-13,neutral
6,UlrichGross4,2023-01-13,neutral
7,wmpeurocom,2023-01-13,neutral
8,annalist,2023-01-13,negative
9,UnbedarftPunk,2023-01-13,neutral
10,dirk_haberkorn,2023-01-13,negative
11,mediendataplan,2023-01-13,neutral
12,mrstone0856,2023-01-13,positive
13,JonzTom,2023-01-13,neutral
14,frei_blick,2023-01-13,neutral
15,Dr_Unbequem,2023-01-13,neutral
16,SignorMacchina,2023-01-13,negative
17,kollektiv420,2023-01-13,neutral
18,Horizont,2023-01-13,neutral
19,woli2017,2023-01-13,neutral
20,kriegundfreitag,2023-01-13,negative
21,ckoever,2023-01-13,negative
22,nichtericrubber,2023-01-13,negative
23,DasBlogMagazin,2023-01-13,neutral
24,Elke_Austenat,2023-01-13,neutral
25,ThomasBoenig,2023-01-13,negative
26,Elon_Musk_Crypt,2023-01-13,positive
27,CBGSpender,2023-01-13,neutral
28,iseethings6,2023-01-13,neutral
29,KarlaKempa,2023-01-13,neutral
30,k_at___,2023-01-13,negative
31,DasBlogMagazin,2023-01-13,neutral
32,mehlhaltig,2023-01-13,negative
33,stagerbn,2023-01-13,neutral
34,CapFuture_,2023-01-13,negative
35,OliverK99709990,2023-01-13,neutral
36,mollymauk1199,2023-01-13,neutral
37,B_Gunners21,2023-01-13,neutral
38,wuv,2023-01-13,negative
39,ChaLee91497716,2023-01-13,neutral
40,LilostartupLilo,2023-01-13,neutral
41,flatterweib,2023-01-13,neutral
42,MEEDIA,2023-01-13,neutral
43,WWF_Deutschland,2023-01-13,neutral
44,LeahMariaMtk,2023-01-13,positive
45,wastelbastel84,2023-01-13,negative
46,gruenderszene,2023-01-13,neutral
47,Mo16600,2023-01-13,neutral
48,heimi63,2023-01-13,positive
49,Kat_Ma666,2023-01-13,neutral
50,Tion,2023-01-13,neutral
51,gavinkarlmeier,2023-01-13,negative
52,WolfgangPhili10,2023-01-13,neutral
